# Efficiencies taken from L144.end_use_eff
region,supplysector,subsector,stub.technology,year,minicam.energy.input,efficiency,market.name
South Korea,comm cooling,gas,gas,2005,delivered gas,0.7739868,South Korea
Southeast Asia,comm cooling,gas,gas,2005,delivered gas,0.6555941,Southeast Asia
Taiwan,comm cooling,gas,gas,2005,delivered gas,0.6555941,Taiwan
Argentina,comm cooling,gas,gas,2005,delivered gas,0.7051007,Argentina
Colombia,comm cooling,gas,gas,2005,delivered gas,0.7051007,Colombia
Uruguay,comm cooling,gas,gas,2005,delivered gas,0.7051007,Uruguay
USA,comm cooling,gas,gas,2010,delivered gas,0.8467502,USA
Africa_Eastern,comm cooling,gas,gas,2010,delivered gas,0.6326226,Africa_Eastern
Africa_Northern,comm cooling,gas,gas,2010,delivered gas,0.6326226,Africa_Northern
Africa_Southern,comm cooling,gas,gas,2010,delivered gas,0.6326226,Africa_Southern
Africa_Western,comm cooling,gas,gas,2010,delivered gas,0.6326226,Africa_Western
Australia_NZ,comm cooling,gas,gas,2010,delivered gas,0.8152614,Australia_NZ
Brazil,comm cooling,gas,gas,2010,delivered gas,0.7197568,Brazil
Canada,comm cooling,gas,gas,2010,delivered gas,0.8223144,Canada
Central America and Caribbean,comm cooling,gas,gas,2010,delivered gas,0.7197568,Central America and Caribbean
Central Asia,comm cooling,gas,gas,2010,delivered gas,0.6784976,Central Asia
China,comm cooling,gas,gas,2010,delivered gas,0.6720112,China
EU-12,comm cooling,gas,gas,2010,delivered gas,0.7225563,EU-12
EU-15,comm cooling,gas,gas,2010,delivered gas,0.8080909,EU-15
Europe_Eastern,comm cooling,gas,gas,2010,delivered gas,0.6784976,Europe_Eastern
Europe_Non_EU,comm cooling,gas,gas,2010,delivered gas,0.7225563,Europe_Non_EU
European Free Trade Association,comm cooling,gas,gas,2010,delivered gas,0.8080909,European Free Trade Association
India,comm cooling,gas,gas,2010,delivered gas,0.6257551,India
Indonesia,comm cooling,gas,gas,2010,delivered gas,0.6754944,Indonesia
Japan,comm cooling,gas,gas,2010,delivered gas,0.848953,Japan
Mexico,comm cooling,gas,gas,2010,delivered gas,0.7197568,Mexico
Middle East,comm cooling,gas,gas,2010,delivered gas,0.7198333,Middle East
Pakistan,comm cooling,gas,gas,2010,delivered gas,0.6754944,Pakistan
Russia,comm cooling,gas,gas,2010,delivered gas,0.6784976,Russia
South Africa,comm cooling,gas,gas,2010,delivered gas,0.6326226,South Africa
South America_Northern,comm cooling,gas,gas,2010,delivered gas,0.7197568,South America_Northern
South America_Southern,comm cooling,gas,gas,2010,delivered gas,0.7197568,South America_Southern
South Asia,comm cooling,gas,gas,2010,delivered gas,0.6754944,South Asia
South Korea,comm cooling,gas,gas,2010,delivered gas,0.7869827,South Korea
Southeast Asia,comm cooling,gas,gas,2010,delivered gas,0.6754944,Southeast Asia
Taiwan,comm cooling,gas,gas,2010,delivered gas,0.6754944,Taiwan
Argentina,comm cooling,gas,gas,2010,delivered gas,0.7197568,Argentina
Colombia,comm cooling,gas,gas,2010,delivered gas,0.7197568,Colombia
Uruguay,comm cooling,gas,gas,2010,delivered gas,0.7197568,Uruguay
USA,comm cooling,gas,gas,2015,delivered gas,0.8552516,USA
Africa_Eastern,comm cooling,gas,gas,2015,delivered gas,0.6495541,Africa_Eastern
Africa_Northern,comm cooling,gas,gas,2015,delivered gas,0.6495541,Africa_Northern
Africa_Southern,comm cooling,gas,gas,2015,delivered gas,0.6495541,Africa_Southern
Africa_Western,comm cooling,gas,gas,2015,delivered gas,0.6495541,Africa_Western
Australia_NZ,comm cooling,gas,gas,2015,delivered gas,0.8259728,Australia_NZ
Brazil,comm cooling,gas,gas,2015,delivered gas,0.7346361,Brazil
Canada,comm cooling,gas,gas,2015,delivered gas,0.8319769,Canada
Central America and Caribbean,comm cooling,gas,gas,2015,delivered gas,0.7346361,Central America and Caribbean
Central Asia,comm cooling,gas,gas,2015,delivered gas,0.6982143,Central Asia
China,comm cooling,gas,gas,2015,delivered gas,0.7008857,China
EU-12,comm cooling,gas,gas,2015,delivered gas,0.7412054,EU-12
EU-15,comm cooling,gas,gas,2015,delivered gas,0.8180064,EU-15
Europe_Eastern,comm cooling,gas,gas,2015,delivered gas,0.6982143,Europe_Eastern
Europe_Non_EU,comm cooling,gas,gas,2015,delivered gas,0.7412054,Europe_Non_EU
European Free Trade Association,comm cooling,gas,gas,2015,delivered gas,0.8180064,European Free Trade Association
India,comm cooling,gas,gas,2015,delivered gas,0.6505645,India
Indonesia,comm cooling,gas,gas,2015,delivered gas,0.6957282,Indonesia
Japan,comm cooling,gas,gas,2015,delivered gas,0.8567971,Japan
Mexico,comm cooling,gas,gas,2015,delivered gas,0.7346361,Mexico
Middle East,comm cooling,gas,gas,2015,delivered gas,0.7354514,Middle East
Pakistan,comm cooling,gas,gas,2015,delivered gas,0.6957282,Pakistan
Russia,comm cooling,gas,gas,2015,delivered gas,0.6982143,Russia
South Africa,comm cooling,gas,gas,2015,delivered gas,0.6495541,South Africa
South America_Northern,comm cooling,gas,gas,2015,delivered gas,0.7346361,South America_Northern
South America_Southern,comm cooling,gas,gas,2015,delivered gas,0.7346361,South America_Southern
South Asia,comm cooling,gas,gas,2015,delivered gas,0.6957282,South Asia
South Korea,comm cooling,gas,gas,2015,delivered gas,0.8001615,South Korea
Southeast Asia,comm cooling,gas,gas,2015,delivered gas,0.6957282,Southeast Asia
Taiwan,comm cooling,gas,gas,2015,delivered gas,0.6957282,Taiwan
Argentina,comm cooling,gas,gas,2015,delivered gas,0.7346361,Argentina
Colombia,comm cooling,gas,gas,2015,delivered gas,0.7346361,Colombia
Uruguay,comm cooling,gas,gas,2015,delivered gas,0.7346361,Uruguay
USA,comm cooling,gas,gas,2020,delivered gas,0.8638384,USA
Africa_Eastern,comm cooling,gas,gas,2020,delivered gas,0.6667617,Africa_Eastern
Africa_Northern,comm cooling,gas,gas,2020,delivered gas,0.6667617,Africa_Northern
Africa_Southern,comm cooling,gas,gas,2020,delivered gas,0.6667617,Africa_Southern
Africa_Western,comm cooling,gas,gas,2020,delivered gas,0.6667617,Africa_Western
Australia_NZ,comm cooling,gas,gas,2020,delivered gas,0.836817,Australia_NZ
Brazil,comm cooling,gas,gas,2020,delivered gas,0.7497415,Brazil
Canada,comm cooling,gas,gas,2020,delivered gas,0.8417506,Canada
Central America and Caribbean,comm cooling,gas,gas,2020,delivered gas,0.7497415,Central America and Caribbean
Central Asia,comm cooling,gas,gas,2020,delivered gas,0.7182584,Central Asia
China,comm cooling,gas,gas,2020,delivered gas,0.7302723,China
EU-12,comm cooling,gas,gas,2020,delivered gas,0.7601561,EU-12
EU-15,comm cooling,gas,gas,2020,delivered gas,0.8280396,EU-15
Europe_Eastern,comm cooling,gas,gas,2020,delivered gas,0.7182584,Europe_Eastern
Europe_Non_EU,comm cooling,gas,gas,2020,delivered gas,0.7601561,Europe_Non_EU
European Free Trade Association,comm cooling,gas,gas,2020,delivered gas,0.8280396,European Free Trade Association
India,comm cooling,gas,gas,2020,delivered gas,0.6758089,India
Indonesia,comm cooling,gas,gas,2020,delivered gas,0.7163002,Indonesia
Japan,comm cooling,gas,gas,2020,delivered gas,0.864713,Japan
Mexico,comm cooling,gas,gas,2020,delivered gas,0.7497415,Mexico
Middle East,comm cooling,gas,gas,2020,delivered gas,0.7513107,Middle East
Pakistan,comm cooling,gas,gas,2020,delivered gas,0.7163002,Pakistan
Russia,comm cooling,gas,gas,2020,delivered gas,0.7182584,Russia
South Africa,comm cooling,gas,gas,2020,delivered gas,0.6667617,South Africa
South America_Northern,comm cooling,gas,gas,2020,delivered gas,0.7497415,South America_Northern
South America_Southern,comm cooling,gas,gas,2020,delivered gas,0.7497415,South America_Southern
South Asia,comm cooling,gas,gas,2020,delivered gas,0.7163002,South Asia
South Korea,comm cooling,gas,gas,2020,delivered gas,0.8135257,South Korea
Southeast Asia,comm cooling,gas,gas,2020,delivered gas,0.7163002,Southeast Asia
Taiwan,comm cooling,gas,gas,2020,delivered gas,0.7163002,Taiwan
Argentina,comm cooling,gas,gas,2020,delivered gas,0.7497415,Argentina
Colombia,comm cooling,gas,gas,2020,delivered gas,0.7497415,Colombia
Uruguay,comm cooling,gas,gas,2020,delivered gas,0.7497415,Uruguay
USA,comm cooling,gas,gas,2025,delivered gas,0.8725114,USA
Africa_Eastern,comm cooling,gas,gas,2025,delivered gas,0.6827806,Africa_Eastern
Africa_Northern,comm cooling,gas,gas,2025,delivered gas,0.6827806,Africa_Northern
Africa_Southern,comm cooling,gas,gas,2025,delivered gas,0.6827806,Africa_Southern
Africa_Western,comm cooling,gas,gas,2025,delivered gas,0.6827806,Africa_Western
Australia_NZ,comm cooling,gas,gas,2025,delivered gas,0.8466896,Australia_NZ
Brazil,comm cooling,gas,gas,2025,delivered gas,0.7637167,Brazil
Canada,comm cooling,gas,gas,2025,delivered gas,0.8512781,Canada
Central America and Caribbean,comm cooling,gas,gas,2025,delivered gas,0.7637167,Central America and Caribbean
Central Asia,comm cooling,gas,gas,2025,delivered gas,0.7359095,Central Asia
China,comm cooling,gas,gas,2025,delivered gas,0.7518325,China
EU-12,comm cooling,gas,gas,2025,delivered gas,0.7759932,EU-12
EU-15,comm cooling,gas,gas,2025,delivered gas,0.8382987,EU-15
Europe_Eastern,comm cooling,gas,gas,2025,delivered gas,0.7359095,Europe_Eastern
Europe_Non_EU,comm cooling,gas,gas,2025,delivered gas,0.7759932,Europe_Non_EU
European Free Trade Association,comm cooling,gas,gas,2025,delivered gas,0.8382987,European Free Trade Association
India,comm cooling,gas,gas,2025,delivered gas,0.6984791,India
Indonesia,comm cooling,gas,gas,2025,delivered gas,0.7360231,Indonesia
Japan,comm cooling,gas,gas,2025,delivered gas,0.8734794,Japan
Mexico,comm cooling,gas,gas,2025,delivered gas,0.7637167,Mexico
Middle East,comm cooling,gas,gas,2025,delivered gas,0.7654873,Middle East
Pakistan,comm cooling,gas,gas,2025,delivered gas,0.7360231,Pakistan
Russia,comm cooling,gas,gas,2025,delivered gas,0.7359095,Russia
South Africa,comm cooling,gas,gas,2025,delivered gas,0.6827806,South Africa
South America_Northern,comm cooling,gas,gas,2025,delivered gas,0.7637167,South America_Northern
South America_Southern,comm cooling,gas,gas,2025,delivered gas,0.7637167,South America_Southern
South Asia,comm cooling,gas,gas,2025,delivered gas,0.7360231,South Asia
South Korea,comm cooling,gas,gas,2025,delivered gas,0.8250643,South Korea
Southeast Asia,comm cooling,gas,gas,2025,delivered gas,0.7360231,Southeast Asia
Taiwan,comm cooling,gas,gas,2025,delivered gas,0.7360231,Taiwan
Argentina,comm cooling,gas,gas,2025,delivered gas,0.7637167,Argentina
Colombia,comm cooling,gas,gas,2025,delivered gas,0.7637167,Colombia
Uruguay,comm cooling,gas,gas,2025,delivered gas,0.7637167,Uruguay
USA,comm cooling,gas,gas,2030,delivered gas,0.8812715,USA
Africa_Eastern,comm cooling,gas,gas,2030,delivered gas,0.6990539,Africa_Eastern
Africa_Northern,comm cooling,gas,gas,2030,delivered gas,0.6990539,Africa_Northern
Africa_Southern,comm cooling,gas,gas,2030,delivered gas,0.6990539,Africa_Southern
Africa_Western,comm cooling,gas,gas,2030,delivered gas,0.6990539,Africa_Western
Australia_NZ,comm cooling,gas,gas,2030,delivered gas,0.8566761,Australia_NZ
Brazil,comm cooling,gas,gas,2030,delivered gas,0.7778969,Brazil
Canada,comm cooling,gas,gas,2030,delivered gas,0.860912,Canada
Central America and Caribbean,comm cooling,gas,gas,2030,delivered gas,0.7778969,Central America and Caribbean
Central Asia,comm cooling,gas,gas,2030,delivered gas,0.7538426,Central Asia
China,comm cooling,gas,gas,2030,delivered gas,0.7737521,China
EU-12,comm cooling,gas,gas,2030,delivered gas,0.7920717,EU-12
EU-15,comm cooling,gas,gas,2030,delivered gas,0.8486804,EU-15
Europe_Eastern,comm cooling,gas,gas,2030,delivered gas,0.7538426,Europe_Eastern
Europe_Non_EU,comm cooling,gas,gas,2030,delivered gas,0.7920717,Europe_Non_EU
European Free Trade Association,comm cooling,gas,gas,2030,delivered gas,0.8486804,European Free Trade Association
India,comm cooling,gas,gas,2030,delivered gas,0.7215364,India
Indonesia,comm cooling,gas,gas,2030,delivered gas,0.7560699,Indonesia
Japan,comm cooling,gas,gas,2030,delivered gas,0.8823346,Japan
Mexico,comm cooling,gas,gas,2030,delivered gas,0.7778969,Mexico
Middle East,comm cooling,gas,gas,2030,delivered gas,0.7798728,Middle East
Pakistan,comm cooling,gas,gas,2030,delivered gas,0.7560699,Pakistan
Russia,comm cooling,gas,gas,2030,delivered gas,0.7538426,Russia
South Africa,comm cooling,gas,gas,2030,delivered gas,0.6990539,South Africa
South America_Northern,comm cooling,gas,gas,2030,delivered gas,0.7778969,South America_Northern
South America_Southern,comm cooling,gas,gas,2030,delivered gas,0.7778969,South America_Southern
South Asia,comm cooling,gas,gas,2030,delivered gas,0.7560699,South Asia
South Korea,comm cooling,gas,gas,2030,delivered gas,0.8367526,South Korea
Southeast Asia,comm cooling,gas,gas,2030,delivered gas,0.7560699,Southeast Asia
Taiwan,comm cooling,gas,gas,2030,delivered gas,0.7560699,Taiwan
Argentina,comm cooling,gas,gas,2030,delivered gas,0.7778969,Argentina
Colombia,comm cooling,gas,gas,2030,delivered gas,0.7778969,Colombia
Uruguay,comm cooling,gas,gas,2030,delivered gas,0.7778969,Uruguay
USA,comm cooling,gas,gas,2035,delivered gas,0.8901196,USA
Africa_Eastern,comm cooling,gas,gas,2035,delivered gas,0.7155852,Africa_Eastern
Africa_Northern,comm cooling,gas,gas,2035,delivered gas,0.7155852,Africa_Northern
Africa_Southern,comm cooling,gas,gas,2035,delivered gas,0.7155852,Africa_Southern
Africa_Western,comm cooling,gas,gas,2035,delivered gas,0.7155852,Africa_Western
Australia_NZ,comm cooling,gas,gas,2035,delivered gas,0.8667778,Australia_NZ
Brazil,comm cooling,gas,gas,2035,delivered gas,0.7922848,Brazil
Canada,comm cooling,gas,gas,2035,delivered gas,0.8706535,Canada
Central America and Caribbean,comm cooling,gas,gas,2035,delivered gas,0.7922848,Central America and Caribbean
Central Asia,comm cooling,gas,gas,2035,delivered gas,0.7720617,Central Asia
China,comm cooling,gas,gas,2035,delivered gas,0.7960361,China
EU-12,comm cooling,gas,gas,2035,delivered gas,0.8083948,EU-12
EU-15,comm cooling,gas,gas,2035,delivered gas,0.8591861,EU-15
Europe_Eastern,comm cooling,gas,gas,2035,delivered gas,0.7720617,Europe_Eastern
Europe_Non_EU,comm cooling,gas,gas,2035,delivered gas,0.8083948,Europe_Non_EU
European Free Trade Association,comm cooling,gas,gas,2035,delivered gas,0.8591861,European Free Trade Association
India,comm cooling,gas,gas,2035,delivered gas,0.7449863,India
Indonesia,comm cooling,gas,gas,2035,delivered gas,0.776445,Indonesia
Japan,comm cooling,gas,gas,2035,delivered gas,0.8912797,Japan
Mexico,comm cooling,gas,gas,2035,delivered gas,0.7922848,Mexico
Middle East,comm cooling,gas,gas,2035,delivered gas,0.7944701,Middle East
Pakistan,comm cooling,gas,gas,2035,delivered gas,0.776445,Pakistan
Russia,comm cooling,gas,gas,2035,delivered gas,0.7720617,Russia
South Africa,comm cooling,gas,gas,2035,delivered gas,0.7155852,South Africa
South America_Northern,comm cooling,gas,gas,2035,delivered gas,0.7922848,South America_Northern
South America_Southern,comm cooling,gas,gas,2035,delivered gas,0.7922848,South America_Southern
South Asia,comm cooling,gas,gas,2035,delivered gas,0.776445,South Asia
South Korea,comm cooling,gas,gas,2035,delivered gas,0.8485924,South Korea
Southeast Asia,comm cooling,gas,gas,2035,delivered gas,0.776445,Southeast Asia
Taiwan,comm cooling,gas,gas,2035,delivered gas,0.776445,Taiwan
Argentina,comm cooling,gas,gas,2035,delivered gas,0.7922848,Argentina
Colombia,comm cooling,gas,gas,2035,delivered gas,0.7922848,Colombia
Uruguay,comm cooling,gas,gas,2035,delivered gas,0.7922848,Uruguay
USA,comm cooling,gas,gas,2040,delivered gas,0.8990564,USA
Africa_Eastern,comm cooling,gas,gas,2040,delivered gas,0.7329808,Africa_Eastern
Africa_Northern,comm cooling,gas,gas,2040,delivered gas,0.7329808,Africa_Northern
Africa_Southern,comm cooling,gas,gas,2040,delivered gas,0.7329808,Africa_Southern
Africa_Western,comm cooling,gas,gas,2040,delivered gas,0.7329808,Africa_Western
Australia_NZ,comm cooling,gas,gas,2040,delivered gas,0.8768377,Australia_NZ
Brazil,comm cooling,gas,gas,2040,delivered gas,0.8067125,Brazil
Canada,comm cooling,gas,gas,2040,delivered gas,0.8806169,Canada
Central America and Caribbean,comm cooling,gas,gas,2040,delivered gas,0.8067125,Central America and Caribbean
Central Asia,comm cooling,gas,gas,2040,delivered gas,0.7892961,Central Asia
China,comm cooling,gas,gas,2040,delivered gas,0.8139755,China
EU-12,comm cooling,gas,gas,2040,delivered gas,0.82458070000000006,EU-12
EU-15,comm cooling,gas,gas,2040,delivered gas,0.8694364,EU-15
Europe_Eastern,comm cooling,gas,gas,2040,delivered gas,0.7892961,Europe_Eastern
Europe_Non_EU,comm cooling,gas,gas,2040,delivered gas,0.82458070000000006,Europe_Non_EU
European Free Trade Association,comm cooling,gas,gas,2040,delivered gas,0.8694364,European Free Trade Association
India,comm cooling,gas,gas,2040,delivered gas,0.7657376,India
Indonesia,comm cooling,gas,gas,2040,delivered gas,0.794557,Indonesia
Japan,comm cooling,gas,gas,2040,delivered gas,0.9001608,Japan
Mexico,comm cooling,gas,gas,2040,delivered gas,0.8067125,Mexico
Middle East,comm cooling,gas,gas,2040,delivered gas,0.8085206,Middle East
Pakistan,comm cooling,gas,gas,2040,delivered gas,0.794557,Pakistan
Russia,comm cooling,gas,gas,2040,delivered gas,0.7892961,Russia
South Africa,comm cooling,gas,gas,2040,delivered gas,0.7329808,South Africa
South America_Northern,comm cooling,gas,gas,2040,delivered gas,0.8067125,South America_Northern
South America_Southern,comm cooling,gas,gas,2040,delivered gas,0.8067125,South America_Southern
South Asia,comm cooling,gas,gas,2040,delivered gas,0.794557,South Asia
South Korea,comm cooling,gas,gas,2040,delivered gas,0.8604893,South Korea
Southeast Asia,comm cooling,gas,gas,2040,delivered gas,0.794557,Southeast Asia
Taiwan,comm cooling,gas,gas,2040,delivered gas,0.794557,Taiwan
Argentina,comm cooling,gas,gas,2040,delivered gas,0.8067125,Argentina
Colombia,comm cooling,gas,gas,2040,delivered gas,0.8067125,Colombia
Uruguay,comm cooling,gas,gas,2040,delivered gas,0.8067125,Uruguay
USA,comm cooling,gas,gas,2045,delivered gas,0.908083,USA
Africa_Eastern,comm cooling,gas,gas,2045,delivered gas,0.7506535,Africa_Eastern
Africa_Northern,comm cooling,gas,gas,2045,delivered gas,0.7506535,Africa_Northern
Africa_Southern,comm cooling,gas,gas,2045,delivered gas,0.7506535,Africa_Southern
Africa_Western,comm cooling,gas,gas,2045,delivered gas,0.7506535,Africa_Western
Australia_NZ,comm cooling,gas,gas,2045,delivered gas,0.8870122,Australia_NZ
Brazil,comm cooling,gas,gas,2045,delivered gas,0.8213501,Brazil
Canada,comm cooling,gas,gas,2045,delivered gas,0.8906925,Canada
Central America and Caribbean,comm cooling,gas,gas,2045,delivered gas,0.8213501,Central America and Caribbean
Central Asia,comm cooling,gas,gas,2045,delivered gas,0.8067987,Central Asia
China,comm cooling,gas,gas,2045,delivered gas,0.8321949,China
EU-12,comm cooling,gas,gas,2045,delivered gas,0.8410101,EU-12
EU-15,comm cooling,gas,gas,2045,delivered gas,0.879806,EU-15
Europe_Eastern,comm cooling,gas,gas,2045,delivered gas,0.8067987,Europe_Eastern
Europe_Non_EU,comm cooling,gas,gas,2045,delivered gas,0.8410101,Europe_Non_EU
European Free Trade Association,comm cooling,gas,gas,2045,delivered gas,0.879806,European Free Trade Association
India,comm cooling,gas,gas,2045,delivered gas,0.7868304,India
Indonesia,comm cooling,gas,gas,2045,delivered gas,0.8129544,Indonesia
Japan,comm cooling,gas,gas,2045,delivered gas,0.9091305,Japan
Mexico,comm cooling,gas,gas,2045,delivered gas,0.8213501,Mexico
Middle East,comm cooling,gas,gas,2045,delivered gas,0.8227732,Middle East
Pakistan,comm cooling,gas,gas,2045,delivered gas,0.8129544,Pakistan
Russia,comm cooling,gas,gas,2045,delivered gas,0.8067987,Russia
South Africa,comm cooling,gas,gas,2045,delivered gas,0.7506535,South Africa
South America_Northern,comm cooling,gas,gas,2045,delivered gas,0.8213501,South America_Northern
South America_Southern,comm cooling,gas,gas,2045,delivered gas,0.8213501,South America_Southern
South Asia,comm cooling,gas,gas,2045,delivered gas,0.8129544,South Asia
South Korea,comm cooling,gas,gas,2045,delivered gas,0.8725396,South Korea
Southeast Asia,comm cooling,gas,gas,2045,delivered gas,0.8129544,Southeast Asia
Taiwan,comm cooling,gas,gas,2045,delivered gas,0.8129544,Taiwan
Argentina,comm cooling,gas,gas,2045,delivered gas,0.8213501,Argentina
Colombia,comm cooling,gas,gas,2045,delivered gas,0.8213501,Colombia
Uruguay,comm cooling,gas,gas,2045,delivered gas,0.8213501,Uruguay
USA,comm cooling,gas,gas,2050,delivered gas,0.9172003,USA
Africa_Eastern,comm cooling,gas,gas,2050,delivered gas,0.7686071,Africa_Eastern
Africa_Northern,comm cooling,gas,gas,2050,delivered gas,0.7686071,Africa_Northern
Africa_Southern,comm cooling,gas,gas,2050,delivered gas,0.7686071,Africa_Southern
Africa_Western,comm cooling,gas,gas,2050,delivered gas,0.7686071,Africa_Western
Australia_NZ,comm cooling,gas,gas,2050,delivered gas,0.8973027,Australia_NZ
Brazil,comm cooling,gas,gas,2050,delivered gas,0.8362003,Brazil
Canada,comm cooling,gas,gas,2050,delivered gas,0.9008817,Canada
Central America and Caribbean,comm cooling,gas,gas,2050,delivered gas,0.8362003,Central America and Caribbean
Central Asia,comm cooling,gas,gas,2050,delivered gas,0.8245732,Central Asia
China,comm cooling,gas,gas,2050,delivered gas,0.850698,China
EU-12,comm cooling,gas,gas,2050,delivered gas,0.8576863,EU-12
EU-15,comm cooling,gas,gas,2050,delivered gas,0.8902961,EU-15
Europe_Eastern,comm cooling,gas,gas,2050,delivered gas,0.8245732,Europe_Eastern
Europe_Non_EU,comm cooling,gas,gas,2050,delivered gas,0.8576863,Europe_Non_EU
European Free Trade Association,comm cooling,gas,gas,2050,delivered gas,0.8902961,European Free Trade Association
India,comm cooling,gas,gas,2050,delivered gas,0.8082696,India
Indonesia,comm cooling,gas,gas,2050,delivered gas,0.8316412,Indonesia
Japan,comm cooling,gas,gas,2050,delivered gas,0.9181895,Japan
Mexico,comm cooling,gas,gas,2050,delivered gas,0.8362003,Mexico
Middle East,comm cooling,gas,gas,2050,delivered gas,0.8372304,Middle East
Pakistan,comm cooling,gas,gas,2050,delivered gas,0.8316412,Pakistan
Russia,comm cooling,gas,gas,2050,delivered gas,0.8245732,Russia
South Africa,comm cooling,gas,gas,2050,delivered gas,0.7686071,South Africa
South America_Northern,comm cooling,gas,gas,2050,delivered gas,0.8362003,South America_Northern
South America_Southern,comm cooling,gas,gas,2050,delivered gas,0.8362003,South America_Southern
South Asia,comm cooling,gas,gas,2050,delivered gas,0.8316412,South Asia
South Korea,comm cooling,gas,gas,2050,delivered gas,0.8847451,South Korea
Southeast Asia,comm cooling,gas,gas,2050,delivered gas,0.8316412,Southeast Asia
Taiwan,comm cooling,gas,gas,2050,delivered gas,0.8316412,Taiwan
Argentina,comm cooling,gas,gas,2050,delivered gas,0.8362003,Argentina
Colombia,comm cooling,gas,gas,2050,delivered gas,0.8362003,Colombia
Uruguay,comm cooling,gas,gas,2050,delivered gas,0.8362003,Uruguay
USA,comm cooling,gas,gas,2055,delivered gas,0.926409,USA
Africa_Eastern,comm cooling,gas,gas,2055,delivered gas,0.7881197,Africa_Eastern
Africa_Northern,comm cooling,gas,gas,2055,delivered gas,0.7881197,Africa_Northern
Africa_Southern,comm cooling,gas,gas,2055,delivered gas,0.7881197,Africa_Southern
Africa_Western,comm cooling,gas,gas,2055,delivered gas,0.7881197,Africa_Western
Australia_NZ,comm cooling,gas,gas,2055,delivered gas,0.9076329,Australia_NZ
Brazil,comm cooling,gas,gas,2055,delivered gas,0.8514909,Brazil
Canada,comm cooling,gas,gas,2055,delivered gas,0.9111333,Canada
Central America and Caribbean,comm cooling,gas,gas,2055,delivered gas,0.8514909,Central America and Caribbean
Central Asia,comm cooling,gas,gas,2055,delivered gas,0.841376,Central Asia
China,comm cooling,gas,gas,2055,delivered gas,0.8665819,China
EU-12,comm cooling,gas,gas,2055,delivered gas,0.8728233,EU-12
EU-15,comm cooling,gas,gas,2055,delivered gas,0.9010396,EU-15
Europe_Eastern,comm cooling,gas,gas,2055,delivered gas,0.841376,Europe_Eastern
Europe_Non_EU,comm cooling,gas,gas,2055,delivered gas,0.8728233,Europe_Non_EU
European Free Trade Association,comm cooling,gas,gas,2055,delivered gas,0.9010396,European Free Trade Association
India,comm cooling,gas,gas,2055,delivered gas,0.8275661,India
Indonesia,comm cooling,gas,gas,2055,delivered gas,0.8491886,Indonesia
Japan,comm cooling,gas,gas,2055,delivered gas,0.9275189,Japan
Mexico,comm cooling,gas,gas,2055,delivered gas,0.8514909,Mexico
Middle East,comm cooling,gas,gas,2055,delivered gas,0.8513608,Middle East
Pakistan,comm cooling,gas,gas,2055,delivered gas,0.8491886,Pakistan
Russia,comm cooling,gas,gas,2055,delivered gas,0.841376,Russia
South Africa,comm cooling,gas,gas,2055,delivered gas,0.7881197,South Africa
South America_Northern,comm cooling,gas,gas,2055,delivered gas,0.8514909,South America_Northern
South America_Southern,comm cooling,gas,gas,2055,delivered gas,0.8514909,South America_Southern
South Asia,comm cooling,gas,gas,2055,delivered gas,0.8491886,South Asia
South Korea,comm cooling,gas,gas,2055,delivered gas,0.8966608,South Korea
Southeast Asia,comm cooling,gas,gas,2055,delivered gas,0.8491886,Southeast Asia
Taiwan,comm cooling,gas,gas,2055,delivered gas,0.8491886,Taiwan
Argentina,comm cooling,gas,gas,2055,delivered gas,0.8514909,Argentina
Colombia,comm cooling,gas,gas,2055,delivered gas,0.8514909,Colombia
Uruguay,comm cooling,gas,gas,2055,delivered gas,0.8514909,Uruguay
USA,comm cooling,gas,gas,2060,delivered gas,0.9357102,USA
Africa_Eastern,comm cooling,gas,gas,2060,delivered gas,0.8079466,Africa_Eastern
Africa_Northern,comm cooling,gas,gas,2060,delivered gas,0.8079466,Africa_Northern
Africa_Southern,comm cooling,gas,gas,2060,delivered gas,0.8079466,Africa_Southern
Africa_Western,comm cooling,gas,gas,2060,delivered gas,0.8079466,Africa_Western
Australia_NZ,comm cooling,gas,gas,2060,delivered gas,0.9180801,Australia_NZ
Brazil,comm cooling,gas,gas,2060,delivered gas,0.8670043,Brazil
Canada,comm cooling,gas,gas,2060,delivered gas,0.9215,Canada
Central America and Caribbean,comm cooling,gas,gas,2060,delivered gas,0.8670043,Central America and Caribbean
Central Asia,comm cooling,gas,gas,2060,delivered gas,0.8584332,Central Asia
China,comm cooling,gas,gas,2060,delivered gas,0.8826989,China
EU-12,comm cooling,gas,gas,2060,delivered gas,0.8881778,EU-12
EU-15,comm cooling,gas,gas,2060,delivered gas,0.911909,EU-15
Europe_Eastern,comm cooling,gas,gas,2060,delivered gas,0.8584332,Europe_Eastern
Europe_Non_EU,comm cooling,gas,gas,2060,delivered gas,0.8881778,Europe_Non_EU
European Free Trade Association,comm cooling,gas,gas,2060,delivered gas,0.911909,European Free Trade Association
India,comm cooling,gas,gas,2060,delivered gas,0.8471687,India
Indonesia,comm cooling,gas,gas,2060,delivered gas,0.8670046,Indonesia
Japan,comm cooling,gas,gas,2060,delivered gas,0.9369431,Japan
Mexico,comm cooling,gas,gas,2060,delivered gas,0.8670043,Mexico
Middle East,comm cooling,gas,gas,2060,delivered gas,0.8656905,Middle East
