# Efficiencies taken from L144.end_use_eff
region,supplysector,subsector,stub.technology,year,minicam.energy.input,efficiency,market.name
Brazil,comm cooling,electricity,electricity,2005,elect_td_bld,2.3658489,Brazil
Canada,comm cooling,electricity,electricity,2005,elect_td_bld,2.7270878,Canada
Central America and Caribbean,comm cooling,electricity,electricity,2005,elect_td_bld,2.3658489,Central America and Caribbean
Central Asia,comm cooling,electricity,electricity,2005,elect_td_bld,2.2115146,Central Asia
China,comm cooling,electricity,electricity,2005,elect_td_bld,2.1596327,China
EU-12,comm cooling,electricity,electricity,2005,elect_td_bld,2.3628424,EU-12
EU-15,comm cooling,electricity,electricity,2005,elect_td_bld,2.6785357,EU-15
Europe_Eastern,comm cooling,electricity,electricity,2005,elect_td_bld,2.2115146,Europe_Eastern
Europe_Non_EU,comm cooling,electricity,electricity,2005,elect_td_bld,2.3628424,Europe_Non_EU
European Free Trade Association,comm cooling,electricity,electricity,2005,elect_td_bld,2.6785357,European Free Trade Association
India,comm cooling,electricity,electricity,2005,elect_td_bld,2.0178132,India
Indonesia,comm cooling,electricity,electricity,2005,elect_td_bld,2.1997376,Indonesia
Japan,comm cooling,electricity,electricity,2005,elect_td_bld,2.8224414,Japan
Mexico,comm cooling,electricity,electricity,2005,elect_td_bld,2.3658489,Mexico
Middle East,comm cooling,electricity,electricity,2005,elect_td_bld,2.3636753,Middle East
Pakistan,comm cooling,electricity,electricity,2005,elect_td_bld,2.1997376,Pakistan
Russia,comm cooling,electricity,electricity,2005,elect_td_bld,2.2115146,Russia
South Africa,comm cooling,electricity,electricity,2005,elect_td_bld,2.066764,South Africa
South America_Northern,comm cooling,electricity,electricity,2005,elect_td_bld,2.3658489,South America_Northern
South America_Southern,comm cooling,electricity,electricity,2005,elect_td_bld,2.3658489,South America_Southern
South Asia,comm cooling,electricity,electricity,2005,elect_td_bld,2.1997376,South Asia
South Korea,comm cooling,electricity,electricity,2005,elect_td_bld,2.5969848,South Korea
Southeast Asia,comm cooling,electricity,electricity,2005,elect_td_bld,2.1997376,Southeast Asia
Taiwan,comm cooling,electricity,electricity,2005,elect_td_bld,2.1997376,Taiwan
Argentina,comm cooling,electricity,electricity,2005,elect_td_bld,2.3658489,Argentina
Colombia,comm cooling,electricity,electricity,2005,elect_td_bld,2.3658489,Colombia
Uruguay,comm cooling,electricity,electricity,2005,elect_td_bld,2.3658489,Uruguay
USA,comm cooling,electricity,electricity,2010,elect_td_bld,2.8982941,USA
Africa_Eastern,comm cooling,electricity,electricity,2010,elect_td_bld,2.1653687,Africa_Eastern
Africa_Northern,comm cooling,electricity,electricity,2010,elect_td_bld,2.1653687,Africa_Northern
Africa_Southern,comm cooling,electricity,electricity,2010,elect_td_bld,2.1653687,Africa_Southern
Africa_Western,comm cooling,electricity,electricity,2010,elect_td_bld,2.1653687,Africa_Western
Australia_NZ,comm cooling,electricity,electricity,2010,elect_td_bld,2.790513,Australia_NZ
Brazil,comm cooling,electricity,electricity,2010,elect_td_bld,2.4636154,Brazil
Canada,comm cooling,electricity,electricity,2010,elect_td_bld,2.8146542,Canada
Central America and Caribbean,comm cooling,electricity,electricity,2010,elect_td_bld,2.4636154,Central America and Caribbean
Central Asia,comm cooling,electricity,electricity,2010,elect_td_bld,2.3223918,Central Asia
China,comm cooling,electricity,electricity,2010,elect_td_bld,2.3001898,China
EU-12,comm cooling,electricity,electricity,2010,elect_td_bld,2.4731976,EU-12
EU-15,comm cooling,electricity,electricity,2010,elect_td_bld,2.7659692,EU-15
Europe_Eastern,comm cooling,electricity,electricity,2010,elect_td_bld,2.3223918,Europe_Eastern
Europe_Non_EU,comm cooling,electricity,electricity,2010,elect_td_bld,2.4731976,Europe_Non_EU
European Free Trade Association,comm cooling,electricity,electricity,2010,elect_td_bld,2.7659692,European Free Trade Association
India,comm cooling,electricity,electricity,2010,elect_td_bld,2.1418622,India
Indonesia,comm cooling,electricity,electricity,2010,elect_td_bld,2.3121121,Indonesia
Japan,comm cooling,electricity,electricity,2010,elect_td_bld,2.9058341,Japan
Mexico,comm cooling,electricity,electricity,2010,elect_td_bld,2.4636154,Mexico
Middle East,comm cooling,electricity,electricity,2010,elect_td_bld,2.4638772,Middle East
Pakistan,comm cooling,electricity,electricity,2010,elect_td_bld,2.3121121,Pakistan
Russia,comm cooling,electricity,electricity,2010,elect_td_bld,2.3223918,Russia
South Africa,comm cooling,electricity,electricity,2010,elect_td_bld,2.1653687,South Africa
South America_Northern,comm cooling,electricity,electricity,2010,elect_td_bld,2.4636154,South America_Northern
South America_Southern,comm cooling,electricity,electricity,2010,elect_td_bld,2.4636154,South America_Southern
South Asia,comm cooling,electricity,electricity,2010,elect_td_bld,2.3121121,South Asia
South Korea,comm cooling,electricity,electricity,2010,elect_td_bld,2.6937192,South Korea
Southeast Asia,comm cooling,electricity,electricity,2010,elect_td_bld,2.3121121,Southeast Asia
Taiwan,comm cooling,electricity,electricity,2010,elect_td_bld,2.3121121,Taiwan
Argentina,comm cooling,electricity,electricity,2010,elect_td_bld,2.4636154,Argentina
Colombia,comm cooling,electricity,electricity,2010,elect_td_bld,2.4636154,Colombia
Uruguay,comm cooling,electricity,electricity,2010,elect_td_bld,2.4636154,Uruguay
USA,comm cooling,electricity,electricity,2015,elect_td_bld,2.9862926,USA
Africa_Eastern,comm cooling,electricity,electricity,2015,elect_td_bld,2.2680558,Africa_Eastern
Africa_Northern,comm cooling,electricity,electricity,2015,elect_td_bld,2.2680558,Africa_Northern
Africa_Southern,comm cooling,electricity,electricity,2015,elect_td_bld,2.2680558,Africa_Southern
Africa_Western,comm cooling,electricity,electricity,2015,elect_td_bld,2.2680558,Africa_Western
Australia_NZ,comm cooling,electricity,electricity,2015,elect_td_bld,2.8840592,Australia_NZ
Brazil,comm cooling,electricity,electricity,2015,elect_td_bld,2.5651377,Brazil
Canada,comm cooling,electricity,electricity,2015,elect_td_bld,2.905024,Canada
Central America and Caribbean,comm cooling,electricity,electricity,2015,elect_td_bld,2.5651377,Central America and Caribbean
Central Asia,comm cooling,electricity,electricity,2015,elect_td_bld,2.4379633,Central Asia
China,comm cooling,electricity,electricity,2015,elect_td_bld,2.4472912,China
EU-12,comm cooling,electricity,electricity,2015,elect_td_bld,2.5880758,EU-12
EU-15,comm cooling,electricity,electricity,2015,elect_td_bld,2.8562429,EU-15
Europe_Eastern,comm cooling,electricity,electricity,2015,elect_td_bld,2.4379633,Europe_Eastern
Europe_Non_EU,comm cooling,electricity,electricity,2015,elect_td_bld,2.5880758,Europe_Non_EU
European Free Trade Association,comm cooling,electricity,electricity,2015,elect_td_bld,2.8562429,European Free Trade Association
India,comm cooling,electricity,electricity,2015,elect_td_bld,2.2715839,India
Indonesia,comm cooling,electricity,electricity,2015,elect_td_bld,2.4292827,Indonesia
Japan,comm cooling,electricity,electricity,2015,elect_td_bld,2.9916887,Japan
Mexico,comm cooling,electricity,electricity,2015,elect_td_bld,2.5651377,Mexico
Middle East,comm cooling,electricity,electricity,2015,elect_td_bld,2.5679848,Middle East
Pakistan,comm cooling,electricity,electricity,2015,elect_td_bld,2.4292827,Pakistan
Russia,comm cooling,electricity,electricity,2015,elect_td_bld,2.4379633,Russia
South Africa,comm cooling,electricity,electricity,2015,elect_td_bld,2.2680558,South Africa
South America_Northern,comm cooling,electricity,electricity,2015,elect_td_bld,2.5651377,South America_Northern
South America_Southern,comm cooling,electricity,electricity,2015,elect_td_bld,2.5651377,South America_Southern
